heading,authors,subtitles,timeframe,languages,ratings,ratings_count,prices
"Master Your Time, Master Your Life",Written by: Brian Tracy,"The Breakthrough System to Get More Results, Faster, in Every Area of Your Life",Length: 4 hrs and 2 mins,Language: English,4.5 out of 5 stars,138 ratings,₹586.00
Artificial Intelligence,"Written by: Harvard Business Review, Thomas H Davenport, Erik Brynjolfsson, Andrew McAfee, H. James Wilson",The Insights You Need from Harvard Business Review,Length: 3 hrs and 31 mins,Language: English,4.5 out of 5 stars,19 ratings,₹469.00
Lapoojhanna (Hindi Edition),Written by: Ashok Pande,,Length: 9 hrs and 35 mins,Language: Hindi,4.5 out of 5 stars,20 ratings,₹668.00
Threshold,Written by: Will Wight,Stories from Cradle,Length: 8 hrs and 35 mins,Language: English,5 out of 5 stars,2 ratings,"₹1,003.00"
Shameless,Written by: Gina L. Maxwell,"Playboys in Love Series, Book 1",Length: 5 hrs and 12 mins,Language: English,4 out of 5 stars,47 ratings,₹586.00
The Healing Power of Mind,"Written by: Tulku Thondup, Daniel Goleman - foreword","Simple Meditation Exercises for Health, Well-Being, and Enlightenment (Buddhayana Series, VII)",Length: 6 hrs and 40 mins,Language: English,4.5 out of 5 stars,26 ratings,₹668.00
Indra Nooyi - A Biography,Written by: Annapoorna,,Length: 4 hrs and 14 mins,Language: English,4.5 out of 5 stars,434 ratings,
Disney Frozen: Olaf's Quest,"Written by: Disney Press, Suzanne Francis",,Length: 2 hrs and 22 mins,Language: English,4.5 out of 5 stars,22 ratings,₹501.00
No Excuses!,Written by: Brian Tracy,The Power of Self-Discipline for Success in Your Life,Length: 6 hrs and 51 mins,Language: English,4.5 out of 5 stars,649 ratings,₹820.00
"Hack your Body, Heal your Mind",Written by: BBC Studios,,Length: 2 hrs and 41 mins,Language: English,,Not rated yet,₹227.00
How to Stop Worrying and Start Living,Written by: Dale Carnegie,,Length: 9 hrs and 42 mins,Language: English,4.5 out of 5 stars,356 ratings,₹69.00
Danger: Truth at Work,Written by: OSHO,Accepting the Unknowable,Length: 27 hrs and 27 mins,Language: English,4 out of 5 stars,5 ratings,₹445.00
The Secret Garden,Written by: Frances Hodgson Burnett,,Length: 7 hrs and 38 mins,Language: English,4.5 out of 5 stars,40 ratings,₹569.00
Crossroads of Civilization: A History of Central Asia,"Written by: Eren Tasar, The Great Courses",,Length: 11 hrs and 15 mins,Language: English,,Not rated yet,"₹1,171.00"
Great Stories for Children,Written by: Ruskin Bond,,Length: 4 hrs and 28 mins,Language: English,4.5 out of 5 stars,201 ratings,₹69.00
The Great Gatsby,Written by: F. Scott Fitzgerald,,Length: 4 hrs and 49 mins,Language: English,4.5 out of 5 stars,467 ratings,₹501.00
Chandrakanta (Hindi Edition),Written by: Devki Nandan Khatri,,Length: 12 hrs and 41 mins,Language: Hindi,4.5 out of 5 stars,56 ratings,
Main Begunah Hoon [I Am Innocent],Written by: Surender Mohan Pathak,,Length: 5 hrs and 42 mins,Language: Hindi,4.5 out of 5 stars,10 ratings,₹69.00
The Naughty Proposal!,Written by: Shanaya Taneja,,Length: 2 hrs and 27 mins,Language: English,4 out of 5 stars,14 ratings,
Vandargal Vendrargal,Written by: Madhan,,Length: 12 hrs and 43 mins,Language: Tamil,5 out of 5 stars,128 ratings,"₹1,003.00"
Vayam Raksham (Hindi Edition),Written by: Acharya Chatursen,,Length: 24 hrs and 27 mins,Language: Hindi,5 out of 5 stars,31 ratings,
Self Help,"Written by: Gabrielle Bernstein, Richard C. Schwartz - foreword",This Is Your Chance to Change Your Life,Length: 6 hrs and 1 min,Language: English,,Not rated yet,"₹1,003.00"
Ek Chota Sa Kadam Aapki Zindagi Badal Sakta Hai [One Small Step Can Change Your Life],Written by: Robert Maurer,,Length: 5 hrs and 10 mins,Language: Hindi,4.5 out of 5 stars,78 ratings,₹216.00
How to Talk to Anyone (Marathi Edition),Written by: Leil Lowndes,92 Little Tricks for Big Success,Length: 10 hrs and 32 mins,Language: Marathi,,Not rated yet,₹69.00
